X1, X2, X3, X4, X5, X6, X7, X8, X9, y
0.517,0.495,0.134,0.606,0.578,0.506,0.509,0.261,0.352,0.297
0.131,0.123,0.167,0.5,0.578,0.571,0.723,0.13,0.102,0.037
0.25,0.248,0.209,0.409,0.482,0.494,0.58,0.368,0.27,0.159
0.169,0.174,0.23,0.682,0.759,0.701,0.821,0.729,0.143,0.076
0.155,0.159,0.186,0.576,0.663,0.649,0.714,0.44,0.157,0.141
0.069,0.063,0.233,0.606,0.699,0.649,0.812,0.259,0.352,0.078
0.413,0.427,0.374,0.894,0.904,0.727,0.804,0.028,0.427,0.364
0.149,0.137,0.196,0.561,0.651,0.494,0.652,0.377,0.177,0.033
0.075,0.069,0.266,0.561,0.639,0.494,0.67,0.213,0.109,0.13
0.155,0.139,0.151,0.515,0.614,0.545,0.679,0.11,0.242,0.094
0.512,0.483,0.118,0.258,0.301,0.234,0.321,0.163,0.532,0.401
0.18,0.192,0.254,0.682,0.759,0.623,0.679,0.283,0.143,0.162
0.404,0.4,0.205,0.803,0.867,0.753,0.804,0.067,0.601,0.466
0.415,0.403,0.224,0.348,0.398,0.338,0.455,0.33,0.427,0.274
0.446,0.441,0.149,0.379,0.434,0.403,0.482,0.139,0.515,0.289
0.328,0.331,0.214,0.485,0.59,0.494,0.518,0.403,0.283,0.26
0.08,0.069,0.205,0.515,0.59,0.468,0.652,0.214,0.188,0.169
0.284,0.273,0.282,0.5,0.566,0.519,0.607,0.841,0.423,0.21
0.264,0.26,0.225,0.515,0.602,0.481,0.562,0.236,0.154,0.174
0.335,0.331,0.19,0.439,0.53,0.468,0.545,0.204,0.253,0.151
0.501,0.479,0.18,0.439,0.482,0.481,0.571,0.559,0.638,0.171
0.317,0.32,0.319,0.333,0.373,0.286,0.464,0.222,0.181,0.222
0.2,0.184,0.209,0.545,0.651,0.545,0.67,0.603,0.198,0.08
0.361,0.363,0.269,0.788,0.855,0.753,0.777,0.06,0.509,0.453
0.377,0.371,0.251,0.333,0.373,0.325,0.429,0.156,0.474,0.173
0.27,0.26,0.231,0.561,0.627,0.558,0.661,0.601,0.386,0.15
0.326,0.315,0.17,0.455,0.542,0.468,0.545,0.191,0.109,0.195
0.479,0.472,0.369,0.303,0.289,0.325,0.366,0.182,0.457,0.35
0.434,0.429,0.172,0.576,0.59,0.519,0.571,0.219,0.307,0.221
0.157,0.163,0.264,0.5,0.614,0.519,0.652,0.198,0.157,0.125
0.14,0.127,0.214,0.561,0.663,0.545,0.661,0.613,0.16,0.079
0.392,0.394,0.448,0.5,0.554,0.558,0.598,0.005,0.311,0.336
0.406,0.407,0.168,0.439,0.494,0.455,0.554,0.191,0.451,0.296
0.636,0.637,0.291,0.379,0.313,0.39,0.348,0.058,0.556,0.45
0.302,0.271,0.161,0.53,0.59,0.506,0.625,0.104,0.201,0.156
0.301,0.295,0.34,0.5,0.614,0.494,0.571,0.175,0.215,0.249
0.652,0.624,0.152,0.455,0.482,0.299,0.312,0.095,0.437,0.499
0.563,0.542,0.183,0.182,0.229,0.234,0.304,0.078,0.567,0.322
0.625,0.606,0.314,0.394,0.446,0.338,0.375,0.051,0.594,0.708
